unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
32	WATER_MAG_00002	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	(((K08093,K13812) K08094),K13831) (K00850,K16370) K01624	0.333333333	FALSE	K01624	62922	None
33	WATER_MAG_00002	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	K17100 K00863 K01624 K03841	0.25	FALSE	K01624	62922	None
34	WATER_MAG_00002	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00370+K00371+K00374,K02567+K02568) (K00362+K00363,K03385+K15876)	0.5	FALSE	K00362,K02567	48664;30540	None
35	WATER_MAG_00002	M00529	Denitrification, nitrate => nitrogen	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00370+K00371+K00374,K02567+K02568) (K00368,K15864) (K04561+K02305) K00376	0.125	FALSE	K02567	30540	None
36	WATER_MAG_00002	M00176	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules	Energy metabolism	Sulfur metabolism	(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)	0.555555556	FALSE	K00390,K00956,K00957	2069;2071;2070	No KOfam profile for M00176
37	WATER_MAG_00002	M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Pathway modules	Energy metabolism	Sulfur metabolism	K17222+K17223+K17224-K17225-K22622+K17226+K17227	1	TRUE	K22622,K17225,K17224,K17226,K17227,K17223,K17222	7281;7280;28689;24457;24458;24456;24459;24455;24462	None
38	WATER_MAG_00002	M00144	NADH:quinone oxidoreductase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343	0.846153846	TRUE	K00341,K00337,K00331,K00330,K00333,K00340,K00343,K00342,K00338,K13378,K00339,K00334	39823;33364;33358;3625;3624;33357;33360;28440;2102;2101;13930;27344;2100;28442;33365;3626;28441;2103;28443;62242	None
39	WATER_MAG_00002	M00149	Succinate dehydrogenase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00241+(K00242,K18859,K18860)+K00239+K00240	0.25	FALSE	K00240	27347;3997	None
40	WATER_MAG_00002	M00150	Fumarate reductase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00244+K00245+K00246+K00247	0.75	TRUE	K00245,K00244,K00246	27347;27346;27345	None
41	WATER_MAG_00002	M00151	Cytochrome bc1 complex respiratory unit	Pathway modules	Energy metabolism	ATP synthesis	((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889	1	TRUE	K00413,K00412,K00411	40413;40414;40415	None
42	WATER_MAG_00002	M00152	Cytochrome bc1 complex	Pathway modules	Energy metabolism	ATP synthesis	K00411+K00412+K00413+K00414+K00415+K00416+K00417+K00418+K00419+K00420	0.3	FALSE	K00413,K00412,K00411	40413;40414;40415	None
43	WATER_MAG_00002	M00156	Cytochrome c oxidase, cbb3-type	Pathway modules	Energy metabolism	ATP synthesis	((K00404+K00405,K15862)+K00407+K00406)	1	TRUE	K00407,K00406,K00404,K00405	49831;49832;49829;49830	None
44	WATER_MAG_00002	M00157	F-type ATPase, prokaryotes and chloroplasts	Pathway modules	Energy metabolism	ATP synthesis	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110	0.875	TRUE	K02109,K02111,K02112,K02113,K02114,K02115,K02108	45979;45978;45976;45974;45977;45973;45975;21987	None
45	WATER_MAG_00002	M00082	Fatty acid biosynthesis, initiation	Pathway modules	Lipid metabolism	Fatty acid metabolism	(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))	1	TRUE	K01962,K00648,K00645,K02160,K01961,K01963	48407;59583;8400;17204;17205;30137	None
46	WATER_MAG_00002	M00083	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))	1	TRUE	K09458,K00059,K02372,K00208	48406;62985;16523;1415	None
47	WATER_MAG_00002	M00873	Fatty acid biosynthesis in mitochondria, animals	Pathway modules	Lipid metabolism	Fatty acid metabolism	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512	0.25	FALSE	K09458,K00645	48406;8400	None
48	WATER_MAG_00002	M00874	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules	Lipid metabolism	Fatty acid metabolism	K11262 K03955+K00645 K09458 K00059 K22541 K07512	0.416666667	FALSE	K09458,K00059,K00645	48406;62985;8400	None
49	WATER_MAG_00002	M00086	beta-Oxidation, acyl-CoA synthesis	Pathway modules	Lipid metabolism	Fatty acid metabolism	K01897,K15013	1	TRUE	K01897	30888	None
50	WATER_MAG_00002	M00089	Triacylglycerol biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	(K00629,K13506,K13507,K00630,K13508) (K00655,K13509,K13523,K19007,K13513,K13517,K13519,K14674,K22831) (K01080,K15728,K18693) (K11155,K11160,K14456,K22848,K22849)	0.25	FALSE	K00655	10498	None
51	WATER_MAG_00002	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules	Lipid metabolism	Lipid metabolism	K00981 (K00998,K17103) K01613	1	TRUE	K17103,K01613,K00981	59566;5064;24008	None
52	WATER_MAG_00002	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules	Nucleotide metabolism	Purine metabolism	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))	0.958333333	TRUE	K01588,K01589,K23264,K01945,K11175,K01923,K01933,K00764,K00602,K08289,K01756,K23269	54460;54459;40522;49445;36527;40523;41141;59029;51923;57363;11535;41058;51924;61594	None
53	WATER_MAG_00002	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules	Nucleotide metabolism	Purine metabolism	K01939 K01756 (K00939,K18532,K18533,K00944) (K00940,K00873,K12406)	1	TRUE	K00939,K00940,K00873,K01939,K01756	63740;59587;26368;21984;16586;16587;41058	None
54	WATER_MAG_00002	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules	Nucleotide metabolism	Purine metabolism	K00088 K01951 K00942 (K00940,K18533,K00873,K12406)	0.75	TRUE	K00940,K00088,K00873,K01951	59587;41033;26368;15172	None
55	WATER_MAG_00002	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)	0.916666667	TRUE	K00254,K00609,K01956,K00762,K01591,K01465,K01955	43655;59492;16584;11269;12664;55652;59759	None
56	WATER_MAG_00002	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	(K13800,K13809,K09903) (K00940,K18533) K01937	1	TRUE	K00940,K01937,K09903	59587;5727;30733	None
57	WATER_MAG_00002	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	(K00524,K00525+K00526,K10807+K10808) (K00940,K18533) (K00527,K21636) K01494 K01520 (K00560,K13998) K00943 K00940	0.625	FALSE	K00525,K00940,K00560,K00943,K00526	61628;41057;59587;53345;23673;4284;27065;61627	None
58	WATER_MAG_00002	M00020	Serine biosynthesis, glycerate-3P => serine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	K00058 K00831 (K01079,K02203,K22305)	0.666666667	FALSE	K00058,K01079	51889;24163	None
59	WATER_MAG_00002	M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733	1	TRUE	K00928,K00003,K01733,K00872,K00133	57613;34108;59500;10861;12565;28061	None
60	WATER_MAG_00002	M00033	Ectoine biosynthesis, aspartate => ectoine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	K00928 K00133 K00836 K06718 K06720	0.4	FALSE	K00928,K00133	57613;12565	None
61	WATER_MAG_00002	M00021	Cysteine biosynthesis, serine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	(K00640,K23304) (K01738,K13034,K17069)	0.5	FALSE	K00640	28454	None
62	WATER_MAG_00002	M00609	Cysteine biosynthesis, methionine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 K17462 K01243 K07173 K17216 K17217	0.5	FALSE	K07173,K01243,K00789	23152;8399;30138	None
63	WATER_MAG_00002	M00017	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)	0.571428571	FALSE	K00928,K00003,K00133,K00548	57613;34108;12565;27175	None
64	WATER_MAG_00002	M00034	Methionine salvage pathway	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 K01611 K00797 ((K01243,K01244) K00899,K00772) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)	0.222222222	FALSE	K01243,K00789	8399;30138	None
65	WATER_MAG_00002	M00035	Methionine degradation	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)	0.25	FALSE	K00789	30138	None
66	WATER_MAG_00002	M00368	Ethylene biosynthesis, methionine => ethylene	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 (K01762,K20772) K05933	0.333333333	FALSE	K00789	30138	None
67	WATER_MAG_00002	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K01652+(K01653,K11258) K00053 K01687 K00826	1	TRUE	K00053,K01652,K01653,K00826,K01687	52434;59568;49550;9309;25705;39735;49549	None
68	WATER_MAG_00002	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K09011 K01703+K01704 K00052	0.666666667	FALSE	K00052,K01704,K01703	15181;15180;22245	None
69	WATER_MAG_00002	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826	1	TRUE	K00053,K01652,K01653,K01754,K00826,K01687	52434;59568;49550;37167;9309;25705;39735;49549	None
70	WATER_MAG_00002	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K01649 (K01702,K01703+K01704) K00052	0.666666667	FALSE	K00052,K01704,K01703	15181;15180;22245	None
71	WATER_MAG_00002	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K00826 ((K00166+K00167,K11381)+K09699+K00382) (K00253,K00249) (K01968+K01969) (K05607,K13766) K01640	0.166666667	FALSE	K00826	9309	None
72	WATER_MAG_00002	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)	0.888888889	TRUE	K00928,K01439,K00215,K00674,K00133,K01714,K01586,K01778	57613;43602;59030;45080;12565;16498;1416;4278	None
73	WATER_MAG_00002	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586	0.666666667	FALSE	K00928,K00215,K00133,K01714,K01586,K01778	57613;59030;12565;16498;1416;4278	None
74	WATER_MAG_00002	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K03340 (K01586,K12526)	0.833333333	TRUE	K00928,K00215,K00133,K01714,K01586	57613;59030;12565;16498;1416	None
75	WATER_MAG_00002	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)	0.857142857	TRUE	K00928,K00215,K00133,K01714,K01586,K01778	57613;59030;12565;16498;1416;4278	None
76	WATER_MAG_00002	M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	K01655 K17450 K01705 K05824 K00838 K00143 (K00293,K24034) K00290	0.125	FALSE	K00290	53175	None
77	WATER_MAG_00002	M00028	Ornithine biosynthesis, glutamate => ornithine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	(K00618,K00619,K14681,K14682,K00620,K22477,K22478) ((K00930,K22478) K00145,K12659) (K00818,K00821) (K01438,K14677,K00620)	0.8	TRUE	K00145,K00620,K00930,K00619	23864;12148;28062;35743	None
78	WATER_MAG_00002	M00844	Arginine biosynthesis, ornithine => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	K00611 K01940 (K01755,K14681)	1	TRUE	K00611,K01755,K01940	41117;33618;680	None
79	WATER_MAG_00002	M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	K22478 K00145 K00821 K09065 K01438 K01940 K01755	0.428571429	FALSE	K01755,K01940,K00145	33618;680;23864	None
80	WATER_MAG_00002	M00029	Urea cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	K01948 K00611 K01940 (K01755,K14681) K01476	0.6	FALSE	K00611,K01755,K01940	41117;33618;680	None
81	WATER_MAG_00002	M00015	Proline biosynthesis, glutamate => proline	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	((K00931 K00147),K12657) K00286	1	TRUE	K00147,K00931,K00286	49179;34814;19054	None
82	WATER_MAG_00002	M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	(K01583,K01584,K01585,K02626) K01480 K01611 K00797	0.25	FALSE	K01480	50828	None
83	WATER_MAG_00002	M00026	Histidine biosynthesis, PRPP => histidine	Pathway modules	Amino acid metabolism	Histidine metabolism	(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)	0.875	TRUE	K04486,K00765,K00013,K01814,K02500,K01496,K11755,K00817,K02501	53984;53959;45693;38777;54042;9311;12264;38776	None
84	WATER_MAG_00002	M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736	0.857142857	TRUE	K00014,K01735,K01626,K00800,K01736,K03786	53276;51245;42216;21441;16224;19552	None
85	WATER_MAG_00002	M00023	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694)	0.7	FALSE	K01658,K00766,K01695,K01696,K01609	43320;56568;63531;62094;30076	None
86	WATER_MAG_00002	M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)	0.5	FALSE	K04518,K14170	5056	None
87	WATER_MAG_00002	M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)	0.333333333	FALSE	K14170	5056	None
88	WATER_MAG_00002	M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	(K01850,K04092,K14170) (K00832,K15849) (K00220,K24018,K15227)	0.333333333	FALSE	K14170	5056	None
89	WATER_MAG_00002	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	K00677 K02535 K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K02560	0.666666667	FALSE	K02535,K02536,K00912,K02527,K00748,K00677	64364;49551;50369;33517;29643;16524	None
90	WATER_MAG_00002	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	K00677 (K02535,K16363) K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K09778	0.777777778	TRUE	K02535,K02536,K00912,K09778,K02527,K00748,K00677	64364;49551;50369;46224;33517;29643;16524	None
91	WATER_MAG_00002	M00063	CMP-KDO biosynthesis	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	K06041 K01627 K03270 K00979	1	TRUE	K03270,K06041,K00979,K01627	36080;61808;61350;29927	None
92	WATER_MAG_00002	M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K03148+K03154 K03151 K03150 K03149 K03147 ((K00941 K00788),K14153,K21219) K00946	0.428571429	FALSE	K03149,K03151,K03147	37115;51134;9313;11623	None
93	WATER_MAG_00002	M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K03148+K03154 K03151 K03153 K03149 K10810 K03147 K00941 K00788 K00946	0.333333333	FALSE	K03149,K03151,K03147	37115;51134;9313;11623	None
94	WATER_MAG_00002	M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K22699 K03147 (K00941 (K00788,K21220),K21219) K00946	0.25	FALSE	K03147	9313;11623	None
95	WATER_MAG_00002	M00897	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K03146 K03147 K14153 K22911 K00949	0.2	FALSE	K03147	9313;11623	None
96	WATER_MAG_00002	M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K01497,K14652) (K01498 K00082,K11752) (K22912,K20860,K20861,K20862,K21063,K21064) (K02858,K14652) K00794 K00793 (K20884 K22949,K11753)	0.571428571	FALSE	K00793,K01497,K11753,K00794	57203;37053;40878;26454;29926	None
97	WATER_MAG_00002	M00911	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01497 K14654 K14655 -- K02858 K00794 K00793 K00861 K00953	0.333333333	FALSE	K00793,K01497,K00794	57203;37053;26454;29926	'--' steps are assumed incomplete
98	WATER_MAG_00002	M00115	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K00278,K06989) K03517 K00767 (K00969,K06210) (K01916,K01950)	0.8	TRUE	K00278,K03517,K00969,K00767	15169;22410;10493;591	None
99	WATER_MAG_00002	M00912	NAD biosynthesis, tryptophan => quinolinate => NAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950)	0.25	FALSE	K00969,K00767	10493;591	None
100	WATER_MAG_00002	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00826 K00606 K00077 K01579 (K01918,K13799)	1	TRUE	K01918,K00606,K01579,K00077,K00826	59237;63532;47781;24782;9309	None
101	WATER_MAG_00002	M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00606 K00077 K13367 K00128 K01918	0.6	FALSE	K01918,K00606,K00077	59237;63532;24782	None
102	WATER_MAG_00002	M00120	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K00867,K03525,K01947,K09680) ((K01922,K21977) K01598,K13038) (K02318,(K00954,K02201) K00859)	1	TRUE	K03525,K00859,K13038,K00954	53958;4277;30956;4283	None
103	WATER_MAG_00002	M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00606 K00077 K06982 K09722 K13038 K02201 K09735	0.428571429	FALSE	K00606,K13038,K00077	63532;30956;24782	None
104	WATER_MAG_00002	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K02169 (K00647,K09458) K00059 K02372 K00208 (K02170,K09789,K19560,K19561)	0.833333333	TRUE	K09458,K00059,K02372,K00208,K02169	48406;62985;16523;1415;11273	None
105	WATER_MAG_00002	M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00652 ((K00833,K19563) K01935,K19562) K01012	1	TRUE	K00833,K01012,K01935,K00652	51921;526;31673;12188;46230	None
106	WATER_MAG_00002	M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K16593 K00652 K19563 K01935 K01012	0.6	FALSE	K01012,K01935,K00652	526;31673;12188;46230	None
107	WATER_MAG_00002	M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01906 K00652 (K00833,K19563) K01935 K01012	0.8	TRUE	K00833,K01012,K01935,K00652	51921;526;31673;12188;46230	None
108	WATER_MAG_00002	M00126	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,(K13940,K01633 K00950) K00796),(K01633 K13941)) (K11754,K20457) (K00287,K13998)	0.428571429	FALSE	K00950,K01495,K00287,K22391	39133;61591;45358;27064;11537	None
109	WATER_MAG_00002	M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K14652 K22100 -- K01633 K13941 K22099 K00287	0.142857143	FALSE	K00287	27064	'--' steps are assumed incomplete
110	WATER_MAG_00002	M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01495 K22101 K13941 K11754 K13998	0.2	FALSE	K01495	61591;45358	None
111	WATER_MAG_00002	M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01495 K01737 K00072	0.666666667	FALSE	K01737,K01495	62983;61591;45358;28882	None
112	WATER_MAG_00002	M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01495 K01737 K17745	0.666666667	FALSE	K01737,K01495	62983;61591;45358;28882	None
113	WATER_MAG_00002	M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	((K03639 K03637),K20967) (K03635,K21142) (((K03831,K03638) K03750),K15376)	0.8	TRUE	K03637,K03635,K03750,K03639	58973;53983;62981;41052;8020	None
114	WATER_MAG_00002	M00140	C1-unit interconversion, prokaryotes	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00600 (K01491,(K00300 K01500)) K01938	0.666666667	FALSE	K01491,K00600	51866;61080;23438	None
115	WATER_MAG_00002	M00141	C1-unit interconversion, eukaryotes	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00600 (K00288,(K13403 K13402))	0.5	FALSE	K00600	61080;23438	None
116	WATER_MAG_00002	M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K02492 K01845 K01698 K01749 (K01719,K13542,K13543) (K02302,(K00589,K02303,K02496,K13542,K13543)+K02304-K03794)	0.916666667	TRUE	K02492,K01698,K01719,K01749,K01845,K02304	60102;45696;41116;49447;12990;28730;27079	None
117	WATER_MAG_00002	M00868	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00643 K01698 K01749 K01719 K01599 K00228 K00231 K01772	0.625	FALSE	K01698,K01719,K01772,K01599,K01749	41116;49447;17234;12563;12990	None
118	WATER_MAG_00002	M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01885 K02492 K01845 K01698 K01749 (K01719,K13542,K13543) K01599 (K00228,K02495) (K00230,K00231,K08973) K01772	1	TRUE	K08973,K02495,K02492,K01698,K01719,K01772,K01599,K01749,K01845,K01885	35612;41118;60102;45696;41116;49447;17234;12563;12990;28730;26747;34107	None
119	WATER_MAG_00002	M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K02492 K01845 K01698 K01749 (K01719,K13542) K01599 K00231 K01772 K00435	0.777777778	TRUE	K02492,K01698,K01719,K01772,K01599,K01749,K01845	60102;45696;41116;49447;17234;12563;12990;28730	None
120	WATER_MAG_00002	M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K02302,(K02303,K13542) K02304) (K02190,K03795,K22011) K03394 (K05934,K13541,K21479) K05936 (K02189,K13541) K02188 K05895 (K02191 K03399,K00595) K06042 K02224	0.083333333	FALSE	K02304	27079	None
