assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	new_name	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_003544855.1	PRJNA284968	SAMN03737953			representative genome	assembly from type material	505249	505249	Arcobacter marinus	strain=JCM 15502		Arcobacter_marinus_JCM_15502	latest	Complete Genome	Major	Full	9/11/18	ASM354485v1	USDA, ARS, WRRC	GCF_003544855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/855/GCA_003544855.1_ASM354485v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003544855.1/GCA_003544855.1_ASM354485v1_genomic.gbff.gz
GCA_900168035.1	PRJEB19698	SAMN06295997	FUYO00000000.1		na		505249	505249	Arcobacter marinus	strain=SH-4D_Col1		Arcobacter_marinus_SH_4D_Col1	latest	Scaffold	Major	Full	3/8/17	IMG-taxon 2703719342 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900168035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly	./00_Arcobacter_Genbank/genbank/bacteria/GCA_900168035.1/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly_genomic.gbff.gz
GCA_002701265.1	PRJNA412151	SAMN07701800	NXFY00000000.1		na	assembly from type material	870501	1032072	Arcobacter molluscorum LMG 25693	strain=F98-3		Arcobacter_molluscorum_LMG_25693_F98_3	latest	Contig	Major	Full	10/24/17	ASM270126v1	Universitat Rovira i Virgili	GCF_002701265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/701/265/GCA_002701265.1_ASM270126v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002701265.1/GCA_002701265.1_ASM270126v1_genomic.gbff.gz
GCA_003544935.1	PRJNA66821	SAMN03737954			representative genome	assembly from type material	870501	1032072	Arcobacter molluscorum LMG 25693	strain=CECT 7696		Arcobacter_molluscorum_LMG_25693_CECT_7696	latest	Complete Genome	Major	Full	9/11/18	ASM354493v1	USDA, ARS, WRRC	GCF_003544935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/935/GCA_003544935.1_ASM354493v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003544935.1/GCA_003544935.1_ASM354493v1_genomic.gbff.gz
GCA_003346775.1	PRJNA66823	SAMN03737955			representative genome	assembly from type material	1032238	603050	Arcobacter mytili LMG 24559	strain=LMG 24559		Arcobacter_mytili_LMG_24559_LMG_24559	latest	Complete Genome	Major	Full	7/31/18	ASM334677v1	USDA, ARS, WRRC	GCF_003346775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/775/GCA_003346775.1_ASM334677v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003346775.1/GCA_003346775.1_ASM334677v1_genomic.gbff.gz
GCA_004116555.1	PRJNA412344	SAMN07709798	NXID00000000.1		na	assembly from type material	1032238	603050	Arcobacter mytili LMG 24559	strain=CECT 7386		Arcobacter_mytili_LMG_24559_CECT_7386	latest	Contig	Major	Full	1/29/19	ASM411655v1	Universitat Rovira i Virgili	GCF_004116555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/555/GCA_004116555.1_ASM411655v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116555.1/GCA_004116555.1_ASM411655v1_genomic.gbff.gz
GCA_000092245.1	PRJNA32593	SAMN02598489			representative genome	assembly from type material	572480	28199	Arcobacter nitrofigilis DSM 7299	strain=DSM 7299		Arcobacter_nitrofigilis_DSM_7299_DSM_7299	latest	Complete Genome	Major	Full	5/17/10	ASM9224v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000092245.1/GCA_000092245.1_ASM9224v1_genomic.gbff.gz
GCA_004214795.1	PRJNA521385	SAMN10884416			representative genome	assembly from type material	1080223	1080223	Arcobacter pacificus	strain=LMG 26638		Arcobacter_pacificus_LMG_26638	latest	Complete Genome	Major	Full	2/20/19	ASM421479v1	USDA, ARS, WRRC	GCF_004214795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/214/795/GCA_004214795.1_ASM421479v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004214795.1/GCA_004214795.1_ASM421479v1_genomic.gbff.gz
GCA_003711085.1	PRJNA490269	SAMN10031634			representative genome	assembly from type material	2320140	2320140	Arcobacter peruensis	strain=PSE-93		Arcobacter_peruensis_PSE_93	latest	Chromosome	Major	Full	11/5/18	ASM371108v1	Max Planck Institute for Marine Microbiology	GCF_003711085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/085/GCA_003711085.1_ASM371108v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003711085.1/GCA_003711085.1_ASM371108v1_genomic.gbff.gz
GCA_003544835.1	PRJNA66827	SAMN03737956			na	assembly from type material	1032239	28200	Arcobacter skirrowii CCUG 10374	strain=CCUG 10374		Arcobacter_skirrowii_CCUG_10374_CCUG_10374_A	latest	Complete Genome	Major	Full	9/11/18	ASM354483v1	USDA, ARS, WRRC	GCF_003544835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/835/GCA_003544835.1_ASM354483v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003544835.1/GCA_003544835.1_ASM354483v1_genomic.gbff.gz
GCA_004115735.1	PRJNA412344	SAMN07709799	NXIC00000000.1		na	assembly from type material	1032239	28200	Arcobacter skirrowii CCUG 10374	strain=LMG 6621		Arcobacter_skirrowii_CCUG_10374_LMG_6621	latest	Contig	Major	Full	1/28/19	ASM411573v1	Universitat Rovira i Virgili	GCF_004115735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/735/GCA_004115735.1_ASM411573v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004115735.1/GCA_004115735.1_ASM411573v1_genomic.gbff.gz
GCA_008802155.1	PRJNA563568	SAMN12697556	VZOH00000000.1		na	assembly from type material	1032239	28200	Arcobacter skirrowii CCUG 10374	strain=CCUG 10374		Arcobacter_skirrowii_CCUG_10374_CCUG_10374_B	latest	Contig	Major	Full	10/1/19	ASM880215v1	University of Gothenburg - CCUG	GCF_008802155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/802/155/GCA_008802155.1_ASM880215v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_008802155.1/GCA_008802155.1_ASM880215v1_genomic.gbff.gz
GCA_002684455.1	PRJNA391943	SAMN07618369	NYVJ00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		CPC309	Arcobacter_sp_CPC309	latest	Contig	Major	Full	10/24/17	ASM268445v1	Tara Oceans Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/455/GCA_002684455.1_ASM268445v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002684455.1/GCA_002684455.1_ASM268445v1_genomic.gbff.gz
GCA_002685075.1	PRJNA391943	SAMN07618368	NYWO00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		CPC16	Arcobacter_sp_CPC16	latest	Contig	Major	Full	10/24/17	ASM268507v1	Tara Oceans Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/075/GCA_002685075.1_ASM268507v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002685075.1/GCA_002685075.1_ASM268507v1_genomic.gbff.gz
GCA_002733685.1	PRJNA391950	SAMN07568850	NVWN00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		NORP36	Arcobacter_sp_NORP36	latest	Contig	Major	Full	10/26/17	ASM273368v1	University of Southern California	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/685/GCA_002733685.1_ASM273368v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002733685.1/GCA_002733685.1_ASM273368v1_genomic.gbff.gz
GCA_002733885.1	PRJNA391950	SAMN07568828	NVXJ00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		NORP14	Arcobacter_sp_NORP14	latest	Contig	Major	Full	10/26/17	ASM273388v1	University of Southern California	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/885/GCA_002733885.1_ASM273388v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002733885.1/GCA_002733885.1_ASM273388v1_genomic.gbff.gz
GCA_002749345.1	PRJNA174530	SAMN07757513	PDRM00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		DOLZORAL124_29_21	Arcobacter_sp_DOLZORAL124_29_21	latest	Contig	Major	Full	11/3/17	ASM274934v1	Stanford University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/345/GCA_002749345.1_ASM274934v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002749345.1/GCA_002749345.1_ASM274934v1_genomic.gbff.gz
GCA_002869535.1	PRJNA387015	SAMN07982696	PKUK00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		BM504	Arcobacter_sp_BM504	latest	Scaffold	Major	Full	1/9/18	ASM286953v1	University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/535/GCA_002869535.1_ASM286953v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002869535.1/GCA_002869535.1_ASM286953v1_genomic.gbff.gz
GCA_002869565.1	PRJNA387015	SAMN07982695	PKUJ00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		BM102	Arcobacter_sp_BM102	latest	Scaffold	Major	Full	1/9/18	ASM286956v1	University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/565/GCA_002869565.1_ASM286956v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002869565.1/GCA_002869565.1_ASM286956v1_genomic.gbff.gz
GCA_003252015.1	PRJNA385762	SAMN09288004	QKDS00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		SZUA-456	Arcobacter_sp_SZUA_456	latest	Contig	Major	Full	6/19/18	ASM325201v1	Environmental Microbiology Lab	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/252/015/GCA_003252015.1_ASM325201v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003252015.1/GCA_003252015.1_ASM325201v1_genomic.gbff.gz
GCA_003252105.1	PRJNA385762	SAMN09287997	QKDL00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		SZUA-449	Arcobacter_sp_SZUA_449	latest	Contig	Major	Full	6/19/18	ASM325210v1	Environmental Microbiology Lab	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/252/105/GCA_003252105.1_ASM325210v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003252105.1/GCA_003252105.1_ASM325210v1_genomic.gbff.gz
GCA_004566295.1	PRJNA482655	SAMN11163847	SPLA00000000.1	derived from metagenome	na		1872629	1872629	Arcobacter sp.		CSH_ALOHA_XIX_Bin_5	Arcobacter_sp_CSH_ALOHA_XIX_Bin_5	latest	Contig	Major	Full	4/2/19	ASM456629v1	Simons Collaboration on Ocean Processes and Ecology (SCOPE)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/566/295/GCA_004566295.1_ASM456629v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004566295.1/GCA_004566295.1_ASM456629v1_genomic.gbff.gz
GCA_011332525.1	PRJNA480137	SAMN09638813	DRRC00000000.1	derived from metagenome; fragmented assembly	na		1872629	1872629	Arcobacter sp.		HyVt-597	Arcobacter_sp_HyVt_597	latest	Contig	Major	Full	3/16/20	ASM1133252v1	The University of Hong Kong	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/332/525/GCA_011332525.1_ASM1133252v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_011332525.1/GCA_011332525.1_ASM1133252v1_genomic.gbff.gz
GCA_002163065.1	PRJNA320927	SAMN05179554	MAAG00000000.1	derived from environmental source	na		1856277	1856277	Arcobacter sp. 31_11_sub10_T18		31_11_sub10_T18	Arcobacter_sp_31_11_sub10_T18	latest	Scaffold	Major	Full	5/31/17	ASM216306v1	Lawrence Berkeley National Lab	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/065/GCA_002163065.1_ASM216306v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002163065.1/GCA_002163065.1_ASM216306v1_genomic.gbff.gz
GCA_000585175.1	PRJNA235195	SAMN02951873	JART00000000.1	unverified source organism	na		1355368	1355368	Arcobacter sp. AF1028	strain=AF1028		Arcobacter_sp_AF1028	latest	Scaffold	Major	Full	3/4/14	Arcobacter_septicus_AF1028	Agriculture and Agri-Food Canada	GCF_000585175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/175/GCA_000585175.1_Arcobacter_septicus_AF1028	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000585175.1/GCA_000585175.1_Arcobacter_septicus_AF1028_genomic.gbff.gz
GCA_004118855.1	PRJNA412344	SAMN07767216	PDKF00000000.1		na		2044508	2044508	Arcobacter sp. CECT 8983	strain=CECT 8983		Arcobacter_sp_CECT_8983	latest	Scaffold	Major	Full	1/29/19	ASM411885v1	Universitat Rovira i Virgili	GCF_004118855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/118/855/GCA_004118855.1_ASM411885v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004118855.1/GCA_004118855.1_ASM411885v1_genomic.gbff.gz
GCA_004116495.1	PRJNA412344	SAMN07767219	PDKC00000000.1		na		1935424	1935424	Arcobacter sp. CECT 8985	strain=CECT 8985		Arcobacter_sp_CECT_8985	latest	Contig	Major	Full	1/29/19	ASM411649v1	Universitat Rovira i Virgili	GCF_004116495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/495/GCA_004116495.1_ASM411649v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116495.1/GCA_004116495.1_ASM411649v1_genomic.gbff.gz
GCA_004116725.1	PRJNA412344	SAMN07767215	PDKG00000000.1		na		2044507	2044507	Arcobacter sp. CECT 8986	strain=CECT 8986		Arcobacter_sp_CECT_8986	latest	Contig	Major	Full	1/29/19	ASM411672v1	Universitat Rovira i Virgili	GCF_004116725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/725/GCA_004116725.1_ASM411672v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116725.1/GCA_004116725.1_ASM411672v1_genomic.gbff.gz
GCA_004116335.1	PRJNA412344	SAMN07767208	PDKN00000000.1		na		2044504	2044504	Arcobacter sp. CECT 8987	strain=CECT 8987		Arcobacter_sp_CECT_8987	latest	Contig	Major	Full	1/28/19	ASM411633v1	Universitat Rovira i Virgili	GCF_004116335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/335/GCA_004116335.1_ASM411633v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116335.1/GCA_004116335.1_ASM411633v1_genomic.gbff.gz
GCA_004116715.1	PRJNA412344	SAMN07767217	PDKE00000000.1		na		2044509	2044509	Arcobacter sp. CECT 8989	strain=CECT 8989		Arcobacter_sp_CECT_8989	latest	Contig	Major	Full	1/29/19	ASM411671v1	Universitat Rovira i Virgili	GCF_004116715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/715/GCA_004116715.1_ASM411671v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116715.1/GCA_004116715.1_ASM411671v1_genomic.gbff.gz
GCA_003316735.1	PRJNA412344	SAMN07767213	PDKI00000000.1		na		2044505	2044505	Arcobacter sp. CECT 9188	strain=CECT 9188		Arcobacter_sp_CECT_9188	latest	Contig	Major	Full	7/13/18	ASM331673v1	Universitat Rovira i Virgili	GCF_003316735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/735/GCA_003316735.1_ASM331673v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003316735.1/GCA_003316735.1_ASM331673v1_genomic.gbff.gz
GCA_003316695.1	PRJNA412344	SAMN07767220	PDKB00000000.1		na		2044510	2044510	Arcobacter sp. CECT 9230	strain=CECT 9230		Arcobacter_sp_CECT_9230	latest	Contig	Major	Full	7/13/18	ASM331669v1	Universitat Rovira i Virgili	GCF_003316695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/695/GCA_003316695.1_ASM331669v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003316695.1/GCA_003316695.1_ASM331669v1_genomic.gbff.gz
GCA_004116575.1	PRJNA412344	SAMN07767214	PDKH00000000.1		na		2044506	2044506	Arcobacter sp. CECT 9299	strain=CECT 9299		Arcobacter_sp_CECT_9299	latest	Contig	Major	Full	1/29/19	ASM411657v1	Universitat Rovira i Virgili	GCF_004116575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/575/GCA_004116575.1_ASM411657v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116575.1/GCA_004116575.1_ASM411657v1_genomic.gbff.gz
GCA_001655195.1	PRJNA277740	SAMN03763493	LPNY00000000.1	derived from metagenome	na		1665555	1665555	Arcobacter sp. EP1		EP1	Arcobacter_sp_EP1	latest	Scaffold	Major	Full	6/3/16	ASM165519v1	University of Calgary	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/655/195/GCA_001655195.1_ASM165519v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001655195.1/GCA_001655195.1_ASM165519v1_genomic.gbff.gz
GCA_004116455.1	PRJNA412344	SAMN07767227	PDJU00000000.1		na		2044512	2044512	Arcobacter sp. F155	strain=F155		Arcobacter_sp_F155	latest	Contig	Major	Full	1/29/19	ASM411645v1	Universitat Rovira i Virgili	GCF_004116455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/455/GCA_004116455.1_ASM411645v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116455.1/GCA_004116455.1_ASM411645v1_genomic.gbff.gz
GCA_004116465.1	PRJNA412344	SAMN07767226	PDJV00000000.1		na		2044511	2044511	Arcobacter sp. F2176	strain=F2176		Arcobacter_sp_F2176	latest	Contig	Major	Full	1/29/19	ASM411646v1	Universitat Rovira i Virgili	GCF_004116465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/465/GCA_004116465.1_ASM411646v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116465.1/GCA_004116465.1_ASM411646v1_genomic.gbff.gz
GCA_003316685.1	PRJNA412344	SAMN07767221	PDKA00000000.1		na		1912879	1912879	Arcobacter sp. FW59	strain=FW59		Arcobacter_sp_FW59	latest	Contig	Major	Full	7/13/18	ASM331668v1	Universitat Rovira i Virgili	GCF_003316685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/685/GCA_003316685.1_ASM331668v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003316685.1/GCA_003316685.1_ASM331668v1_genomic.gbff.gz
GCA_003370305.1	PRJNA270248	SAMN07429441	QQTB00000000.1	derived from single cell	na		2283590	2283590	Arcobacter sp. HD9-500m-PIT-SAG02		HD9-500m-PIT-SAG02	Arcobacter_sp_HD9-500m-PIT-SAG02	latest	Contig	Major	Full	8/10/18	ASM337030v1	MIT	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/370/305/GCA_003370305.1_ASM337030v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003370305.1/GCA_003370305.1_ASM337030v1_genomic.gbff.gz
GCA_003370335.1	PRJNA270248	SAMN07429487	QQTC00000000.1	derived from single cell	na		2283591	2283591	Arcobacter sp. HD9-500m-PIT-SAG03		HD9-500m-PIT-SAG03	Arcobacter_sp_HD9-500m-PIT-SAG03	latest	Scaffold	Major	Full	8/10/18	ASM337033v1	MIT	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/370/335/GCA_003370335.1_ASM337033v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003370335.1/GCA_003370335.1_ASM337033v1_genomic.gbff.gz
GCA_000284235.1	PRJDA61721	SAMD00060981			na		944547	944547	Arcobacter sp. L			Arcobacter_sp_L	latest	Complete Genome	Major	Full	9/2/11	ASM28423v1	Center for Computational and Quantitative Life Science, RIKEN	GCF_000284235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/235/GCA_000284235.1_ASM28423v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000284235.1/GCA_000284235.1_ASM28423v1_genomic.gbff.gz
GCA_001895145.1	PRJDB5254	SAMD00065689	BDIR00000000.1		na		1898176	1898176	Arcobacter sp. LA11	strain=LA11		Arcobacter_sp_LA11	latest	Contig	Major	Full	11/7/16	ASM189514v1	Graduate School of Bioresources, Mie University	GCF_001895145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/145/GCA_001895145.1_ASM189514v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001895145.1/GCA_001895145.1_ASM189514v1_genomic.gbff.gz
GCA_002992985.1	PRJNA369468	SAMN07515816	NXGC00000000.1		na		2027466	2027466	Arcobacter sp. LMG 29976	strain=LMG 29976		Arcobacter_sp_LMG_29976	latest	Contig	Major	Full	3/9/18	ASM299298v1	Universitat Rovira i Virgili	GCF_002992985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/992/985/GCA_002992985.1_ASM299298v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002992985.1/GCA_002992985.1_ASM299298v1_genomic.gbff.gz
GCA_001956695.1	PRJNA355602	SAMN06075356			na		1850254	1850254	Arcobacter sp. LPB0137	strain=LPB0137		Arcobacter_sp_LPB0137	latest	Complete Genome	Major	Full	1/18/17	ASM195669v1	Korea University	GCF_001956695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/956/695/GCA_001956695.1_ASM195669v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001956695.1/GCA_001956695.1_ASM195669v1_genomic.gbff.gz
GCA_003063295.1	PRJNA369468	SAMN06286567	MUXF00000000.1		na		1912876	1912876	Arcobacter sp. RW43-9	strain=RW43-9		Arcobacter_sp_RW43-9	latest	Scaffold	Major	Full	4/23/18	ASM306329v1	Universitat Rovira i Virgili	GCF_003063295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/295/GCA_003063295.1_ASM306329v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003063295.1/GCA_003063295.1_ASM306329v1_genomic.gbff.gz
GCA_003667345.1	PRJNA495891	SAMN10233606	RCWF00000000.1		na		2478538	2478538	Arcobacter sp. SM1702	strain=SM1702		Arcobacter_sp_SM1702	latest	Scaffold	Major	Full	10/19/18	ASM366734v1	Shandong University	GCF_003667345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/345/GCA_003667345.1_ASM366734v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003667345.1/GCA_003667345.1_ASM366734v1_genomic.gbff.gz
GCA_002306255.1	PRJNA348753	SAMN06453401	DBSG00000000.1	unverified source organism; derived from metagenome	na		1946044	1946044	Arcobacter sp. UBA1348		UBA1348	Arcobacter_sp_UBA1348	latest	Scaffold	Major	Full	9/15/17	ASM230625v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/306/255/GCA_002306255.1_ASM230625v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002306255.1/GCA_002306255.1_ASM230625v1_genomic.gbff.gz
GCA_002342995.1	PRJNA348753	SAMN06451330	DDQX00000000.1	unverified source organism; derived from metagenome	na		1946045	1946045	Arcobacter sp. UBA2431		UBA2431	Arcobacter_sp_UBA2431	latest	Scaffold	Major	Full	9/22/17	ASM234299v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/342/995/GCA_002342995.1_ASM234299v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002342995.1/GCA_002342995.1_ASM234299v1_genomic.gbff.gz
GCA_002342795.1	PRJNA348753	SAMN06452055	DDQU00000000.1	unverified source organism; derived from metagenome	na		1946046	1946046	Arcobacter sp. UBA2434		UBA2434	Arcobacter_sp_UBA2434	latest	Scaffold	Major	Full	9/22/17	ASM234279v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/342/795/GCA_002342795.1_ASM234279v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002342795.1/GCA_002342795.1_ASM234279v1_genomic.gbff.gz
GCA_002342715.1	PRJNA348753	SAMN06451323	DDQQ00000000.1	unverified source organism; derived from metagenome	na		1946047	1946047	Arcobacter sp. UBA2438		UBA2438	Arcobacter_sp_UBA2438	latest	Scaffold	Major	Full	9/22/17	ASM234271v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/342/715/GCA_002342715.1_ASM234271v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002342715.1/GCA_002342715.1_ASM234271v1_genomic.gbff.gz
GCA_002342845.1	PRJNA348753	SAMN06456363	DDQL00000000.1	unverified source organism; derived from metagenome	na		1946048	1946048	Arcobacter sp. UBA2443		UBA2443	Arcobacter_sp_UBA2443	latest	Scaffold	Major	Full	9/22/17	ASM234284v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/342/845/GCA_002342845.1_ASM234284v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002342845.1/GCA_002342845.1_ASM234284v1_genomic.gbff.gz
GCA_002382265.1	PRJNA348753	SAMN06455018	DGAE00000000.1	derived from metagenome	na		1946049	1946049	Arcobacter sp. UBA4038		UBA4038	Arcobacter_sp_UBA4038	latest	Scaffold	Major	Full	9/27/17	ASM238226v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/382/265/GCA_002382265.1_ASM238226v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002382265.1/GCA_002382265.1_ASM238226v1_genomic.gbff.gz
GCA_002452915.1	PRJNA348753	SAMN06457785	DKFU00000000.1	derived from metagenome	na		1946050	1946050	Arcobacter sp. UBA6788		UBA6788	Arcobacter_sp_UBA6788	latest	Scaffold	Major	Full	10/5/17	ASM245291v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/452/915/GCA_002452915.1_ASM245291v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002452915.1/GCA_002452915.1_ASM245291v1_genomic.gbff.gz
